net,length_um
rf\[26\]\[30\],105.78
_03225_,105.63
rf\[24\]\[10\],105.62
rf\[20\]\[27\],105.57
rf\[11\]\[18\],105.48
_03464_,105.02
clknet_0__04479_,104.92
_04139_,104.8
rf\[14\]\[16\],104.455
clknet_1_1__leaf__04464_,104.43
rf\[8\]\[21\],104.34
rf\[11\]\[15\],104.32
_03663_,104.18
rf\[18\]\[11\],104.105
_04336_,103.9
rf\[26\]\[24\],103.765
clknet_1_1__leaf__04487_,103.76
clknet_1_1__leaf__04455_,103.66
rf\[30\]\[14\],103.63
clknet_0__04490_,103.46
_03489_,103.44
rf\[21\]\[31\],103.4
clknet_0__04446_,103.34
_03427_,103.32
rf\[11\]\[17\],103.3
rf\[25\]\[13\],102.96
_04347_,102.9
_03929_,102.44
_03910_,102.43
rf\[5\]\[28\],102.4
_04264_,102.345
clknet_1_0__leaf__04463_,101.94
_03753_,101.73
_04310_,101.44
rf\[11\]\[30\],101.3
clknet_0__04468_,101.22
clknet_1_1__leaf__04483_,101.04
rf\[11\]\[4\],101.02
clknet_1_1__leaf__04493_,100.76
_03742_,100.44
clknet_1_0__leaf__04493_,100.42
_04291_,100.33
_03269_,100.32
_03531_,100.29
_04082_,100.25
rf\[24\]\[28\],100.16
_03478_,100.04
net52,99.85
_04398_,99.48
_04187_,99.32
_03726_,99.03
_04207_,98.96
clknet_1_0__leaf__04453_,98.96
_03731_,98.83
rf\[24\]\[12\],98.82
rf\[4\]\[0\],98.82
_03700_,98.66
rf\[12\]\[11\],98.58
rf\[25\]\[17\],98.5
rf\[11\]\[26\],98.48
rf\[11\]\[16\],98.44
_04262_,98.22
_03706_,98.115
rf\[26\]\[7\],97.875
rf\[0\]\[3\],97.62
_03926_,97.505
_03553_,97.34
rf\[22\]\[1\],97.325
_04117_,97.28
clknet_1_0__leaf__04487_,97.08
rf\[29\]\[31\],97.02
_02676_,96.99
rf\[25\]\[21\],96.78
_03725_,96.25
_03455_,96.22
_04362_,95.98
rf\[14\]\[13\],95.955
_03835_,95.77
_03550_,95.6
rf\[30\]\[12\],95.59
_03402_,95.56
clknet_1_1__leaf__04499_,95.42
_04426_,95.3
clknet_1_0__leaf__04473_,95.26
rf\[13\]\[31\],95.2
rf\[27\]\[9\],95.1
_03457_,94.89
_03512_,94.86
net78,94.65
_03881_,94.46
rf\[13\]\[30\],94.4
_03362_,94.34
rf\[0\]\[6\],94.33
_03494_,94.19
_03947_,94.1
rf\[25\]\[19\],94.06
_04297_,93.94
rf\[26\]\[26\],93.915
_03326_,93.84
_04164_,93.685
_04059_,93.68
clknet_1_0__leaf__04483_,93.42
_04301_,93.36
rf\[29\]\[8\],93.28
_02847_,93.12
_03516_,93.12
_03879_,92.9
_03770_,92.8
_03382_,91.93
_03391_,91.76
_03868_,91.74
rf\[11\]\[14\],91.72
rf\[16\]\[20\],91.72
clknet_1_1__leaf__04461_,91.6
rf\[15\]\[31\],91.58
_03986_,91.4
_04219_,91.29
net57,91.28
_04121_,91.26
clknet_1_0__leaf__04482_,91.26
_03777_,91.22
_03431_,91.2
_03498_,91.03
_03340_,90.92
rf\[6\]\[21\],90.81
rf\[3\]\[28\],90.78
clknet_1_0__leaf__04459_,90.77
rf\[24\]\[27\],90.74
_03432_,90.66
clknet_1_0__leaf__04454_,90.6
_03523_,90.58
clknet_1_0__leaf__04498_,90.5
clknet_1_0__leaf__04448_,90.44
clknet_1_0__leaf__04481_,90.36
clknet_1_0__leaf__04452_,90.3
_03964_,89.96
_02537_,89.94
rf\[31\]\[16\],89.88
_03845_,89.8
net51,89.72
_04035_,89.68
_03296_,89.64
_03285_,89.55
clknet_1_1__leaf__04467_,89.52
rf\[21\]\[15\],89.44
rf\[5\]\[25\],89.32
rf\[8\]\[23\],89.32
rf\[18\]\[14\],89.265
rf\[26\]\[28\],89.05
rf\[20\]\[24\],88.9
_03492_,88.84
rf\[11\]\[22\],88.84
rf\[20\]\[26\],88.66
rf\[31\]\[17\],88.57
_03482_,88.2
_03547_,88.14
rf\[15\]\[11\],88.14
_03587_,87.93
rf\[11\]\[13\],87.9
_04317_,87.86
_03556_,87.84
_04095_,87.8
rf\[30\]\[29\],87.795
_04073_,87.66
clknet_1_0__leaf__04455_,87.56
_03759_,87.4
rf\[0\]\[7\],87.38
rf\[7\]\[24\],87.25
_03679_,87.08
rf\[27\]\[6\],87.02
_04032_,86.94
clknet_1_1__leaf__04449_,86.88
_03672_,86.52
clknet_1_1__leaf__04466_,86.4
_03890_,86.36
_02744_,86.26
_02049_,86.14
_03772_,86.1
rf\[24\]\[21\],86.02
rf\[14\]\[14\],85.95
_04249_,85.865
clknet_1_1__leaf__04453_,85.76
rf\[16\]\[22\],85.74
_03989_,85.54
_03973_,85.43
clknet_1_1__leaf__04447_,85.28
net27,85.18
_03786_,85
rf\[25\]\[15\],84.98
rf\[26\]\[29\],84.96
_04407_,84.94
_03796_,84.92
clknet_1_1__leaf__04454_,84.825
_03308_,84.82
clknet_1_1__leaf__04471_,84.64
rf\[29\]\[7\],84.52
_03461_,84.48
_03847_,84.46
rf\[11\]\[0\],84.46
_03925_,84.36
clknet_1_0__leaf__04477_,84.32
rf\[27\]\[4\],84.22
_03536_,84.18
clknet_1_1__leaf__04496_,84.18
rf\[11\]\[20\],84.16
rf\[17\]\[27\],84.14
rf\[18\]\[1\],84.115
_04127_,83.855
clknet_1_1__leaf__04485_,83.7
_03413_,83.62
_04436_,83.6
_03854_,83.58
rf\[26\]\[8\],83.53
rf\[12\]\[4\],83.34
_03934_,83.32
rf\[25\]\[22\],83.32
rf\[24\]\[6\],83.28
clknet_1_0__leaf__04502_,82.88
rf\[23\]\[10\],82.32
_03832_,82.24
rf\[10\]\[12\],82.15
_03927_,82.12
rf\[2\]\[0\],82.055
rf\[5\]\[29\],81.995
_03689_,81.98
rf\[24\]\[22\],81.96
rf\[27\]\[12\],81.94
rf\[25\]\[23\],81.92
rf\[15\]\[9\],81.86
_03328_,81.8
clknet_1_1__leaf__04480_,81.76
_04288_,81.72
clknet_1_0__leaf__04456_,81.7
_02881_,81.68
clknet_1_0__leaf__04462_,81.68
rf\[30\]\[13\],81.59
rf\[31\]\[18\],81.36
rf\[23\]\[2\],81.34
clknet_1_1__leaf__04500_,81.34
clknet_1_1__leaf__04452_,81.3
_03364_,81.24
_04014_,81.18
_03574_,81.08
rf\[8\]\[10\],80.94
rf\[4\]\[2\],80.84
_03018_,80.835
_03653_,80.82
rf\[14\]\[9\],80.795
rf\[0\]\[4\],80.62
_04422_,80.47
rf\[24\]\[8\],80.4
rf\[18\]\[5\],80.38
rf\[12\]\[1\],80.32
_03568_,80.28
rf\[26\]\[12\],80.15
rf\[8\]\[30\],80.14
_03799_,80.12
rf\[25\]\[31\],80.1
clknet_1_0__leaf__04491_,80.095
_04156_,80.04
_03420_,79.92
_04420_,79.9
rf\[17\]\[31\],79.74
_03380_,79.72
rf\[6\]\[22\],79.72
_04067_,79.66
rf\[12\]\[17\],79.65
_04409_,79.64
_03505_,79.5
rf\[27\]\[7\],79.46
_03491_,79.4
rf\[30\]\[10\],79.175
rf\[6\]\[18\],78.975
rf\[15\]\[12\],78.84
_04155_,78.83
clknet_1_1__leaf__04458_,78.82
clknet_1_0__leaf__04469_,78.51
clknet_1_1__leaf__04475_,78.5
rf\[3\]\[31\],78.48
rf\[6\]\[16\],78.36
rf\[29\]\[10\],78.32
_03379_,78.26
_04133_,78.24
_04234_,78.24
_04372_,78.2
clknet_1_1__leaf__04462_,78.14
rf\[22\]\[25\],78.135
rf\[31\]\[27\],78.12
rf\[3\]\[22\],78.04
clknet_1_1__leaf__04486_,77.96
rf\[24\]\[29\],77.82
clknet_1_0__leaf__04480_,77.82
_04018_,77.595
_03524_,77.59
_03572_,77.555
rf\[12\]\[15\],77.55
rf\[22\]\[0\],77.53
_03304_,77.52
_04270_,77.44
_03357_,77.38
_03534_,77.32
_03788_,77.26
rf\[11\]\[12\],77.22
rf\[26\]\[16\],77.2
rf\[11\]\[29\],77.15
rf\[12\]\[8\],77.14
clknet_1_1__leaf__04459_,77.12
rf\[27\]\[0\],76.94
clknet_1_0__leaf__04489_,76.94
rf\[15\]\[15\],76.86
_03406_,76.8
_04017_,76.74
rf\[21\]\[17\],76.74
clknet_1_1__leaf__04478_,76.74
_03704_,76.6
rf\[30\]\[8\],76.57
rf\[3\]\[8\],76.48
rf\[16\]\[19\],76.46
_04438_,76.44
rf\[25\]\[24\],76.4
_04411_,76.26
_03323_,76.08
_02984_,75.98
rf\[3\]\[17\],75.98
_04031_,75.97
rf\[31\]\[24\],75.88
_03601_,75.86
clknet_1_0__leaf__04460_,75.855
rf\[18\]\[2\],75.7
_04274_,75.62
rf\[29\]\[4\],75.6
clknet_1_1__leaf__04451_,75.58
clknet_1_1__leaf__04445_,75.56
rf\[24\]\[11\],75.53
rf\[15\]\[1\],75.5
clknet_1_1__leaf__04501_,75.42
rf\[13\]\[23\],75.38
_04325_,75.26
_03458_,75.22
_03278_,75.16
clknet_1_0__leaf__04497_,75.16
rf\[10\]\[15\],75.085
clknet_1_1__leaf__04472_,75.02
rf\[3\]\[20\],74.98
clknet_1_0__leaf__04471_,74.98
rf\[28\]\[18\],74.88
_03807_,74.82
_03754_,74.66
clknet_1_0__leaf__04472_,74.49
_03655_,74.48
rf\[24\]\[30\],74.44
_04490_,74.42
_04430_,74.4
_04299_,74.35
_03746_,74.02
rf\[18\]\[15\],73.87
rf\[3\]\[21\],73.86
rf\[18\]\[17\],73.85
rf\[4\]\[4\],73.76
clknet_1_0__leaf__04470_,73.66
clknet_1_1__leaf__04498_,73.54
_03445_,73.5
rf\[20\]\[11\],73.48
_03469_,73.4
_03250_,73.33
rf\[21\]\[13\],73.14
clknet_1_0__leaf__04466_,73.12
_04230_,72.96
_03264_,72.92
rf\[24\]\[26\],72.88
clknet_1_1__leaf__04482_,72.87
_03883_,72.84
_04303_,72.82
rf\[17\]\[29\],72.76
_03665_,72.74
_03733_,72.74
clknet_1_0__leaf__04464_,72.72
_03903_,72.71
net26,72.64
rf\[24\]\[31\],72.58
_04064_,72.56
rf\[14\]\[12\],72.535
_03259_,72.52
rf\[25\]\[30\],72.18
clknet_1_0__leaf__04467_,72
_02571_,71.92
rf\[3\]\[14\],71.9
clknet_1_0__leaf__04500_,71.84
_03744_,71.82
clknet_1_1__leaf__04488_,71.8
rf\[11\]\[2\],71.68
rf\[16\]\[17\],71.66
rf\[19\]\[23\],71.66
rf\[24\]\[9\],71.66
_03324_,71.5
_03803_,71.42
_03761_,71.28
clknet_1_0__leaf__04478_,71.26
rf\[27\]\[11\],71.14
_03982_,71.12
_03640_,71.1
_03916_,71.08
_04174_,70.96
clknet_1_0__leaf__04476_,70.92
_03684_,70.82
rf\[27\]\[8\],70.68
rf\[4\]\[7\],70.68
rf\[25\]\[1\],70.6
clknet_1_1__leaf__04460_,70.58
_02296_,70.54
clknet_1_1__leaf__04463_,70.54
clknet_1_0__leaf__04447_,70.54
_03433_,70.4
_04163_,70.4
rf\[11\]\[24\],70.36
clknet_1_0__leaf__04492_,70.34
rf\[8\]\[26\],70.21
_04390_,70.2
_04181_,70.14
_04066_,70.08
rf\[25\]\[28\],70.08
rf\[18\]\[8\],70.03
clknet_1_1__leaf__04484_,70
clknet_1_1__leaf__04448_,70
_04202_,69.9
rf\[6\]\[19\],69.75
rf\[1\]\[2\],69.72
_04196_,69.66
_04309_,69.135
_03849_,69.13
net3,69.1
_03565_,68.94
_03751_,68.94
rf\[1\]\[8\],68.94
rf\[30\]\[11\],68.86
_03953_,68.83
rf\[19\]\[24\],68.82
rf\[22\]\[4\],68.79
rf\[16\]\[13\],68.68
clknet_1_0__leaf__04458_,68.68
rf\[13\]\[20\],68.63
