design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
sv_core,core,matrix_config_20,flow completed,0h9m27s0ms,0h6m31s0ms,34200.0,0.2,17100.0,18.78,-1,829.63,3015,0,0,0,0,0,0,113390,0,0,0,-1,-1,154511,27478,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,21.9,21.85,5.43,14.05,0.41,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11402,2655,0,3136,3420,20613,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.72,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_21,flow completed,0h9m24s0ms,0h6m30s0ms,34200.0,0.2,17100.0,18.78,-1,830.09,3015,0,0,0,0,0,0,113390,0,0,0,-1,-1,154511,27478,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,21.9,21.85,5.43,14.05,0.41,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11402,2655,0,3136,3420,20613,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.72,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_22,flow completed,0h9m27s0ms,0h6m31s0ms,34200.0,0.2,17100.0,18.78,-1,825.22,3015,0,0,0,0,0,0,113390,0,0,0,-1,-1,154511,27478,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,21.9,21.85,5.43,14.05,0.41,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11402,2655,0,3136,3420,20613,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.72,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_23,flow completed,0h9m21s0ms,0h6m30s0ms,34200.0,0.2,17100.0,18.78,-1,830.2,3015,0,0,0,0,0,0,113390,0,0,0,-1,-1,154511,27478,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,21.9,21.85,5.43,14.05,0.41,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11402,2655,0,3136,3420,20613,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.72,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_24,flow completed,0h9m38s0ms,0h6m43s0ms,34300.0,0.2,17150.0,18.78,-1,808.23,3015,0,0,0,0,0,0,113508,0,0,0,-1,-1,154738,27582,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,22.05,21.86,5.2,14.05,0.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11400,2655,0,3130,3430,20615,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.71,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_25,flow completed,0h9m39s0ms,0h6m45s0ms,34300.0,0.2,17150.0,18.78,-1,800.79,3015,0,0,0,0,0,0,113508,0,0,0,-1,-1,154738,27582,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,22.05,21.86,5.2,14.05,0.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11400,2655,0,3130,3430,20615,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.71,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_27,flow completed,0h8m35s0ms,0h5m40s0ms,34220.0,0.2,17110.0,18.78,-1,798.65,3015,0,0,0,0,0,0,113587,0,0,0,-1,-1,162492,28055,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,134917405.0,0.0,22.54,23.63,5.3,14.23,0.69,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11399,2655,0,3199,3422,20675,185021.2,-1,-1,-1,0.00417,0.00375,2.76e-08,-1,-1,-1,8.96,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_26,flow completed,0h9m37s0ms,0h6m44s0ms,34300.0,0.2,17150.0,18.78,-1,806.8,3015,0,0,0,0,0,0,113508,0,0,0,-1,-1,154738,27582,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,22.05,21.86,5.2,14.05,0.05,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11400,2655,0,3130,3430,20615,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.71,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_28,flow completed,0h8m33s0ms,0h5m37s0ms,34220.0,0.2,17110.0,18.78,-1,778.88,3015,0,0,0,0,0,0,113587,0,0,0,-1,-1,162492,28055,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,134917405.0,0.0,22.54,23.63,5.3,14.23,0.69,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11399,2655,0,3199,3422,20675,185021.2,-1,-1,-1,0.00417,0.00375,2.76e-08,-1,-1,-1,8.96,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_29,flow completed,0h8m31s0ms,0h5m38s0ms,34220.0,0.2,17110.0,18.78,-1,778.16,3015,0,0,0,0,0,0,113587,0,0,0,-1,-1,162492,28055,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,134917405.0,0.0,22.54,23.63,5.3,14.23,0.69,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11399,2655,0,3199,3422,20675,185021.2,-1,-1,-1,0.00417,0.00375,2.76e-08,-1,-1,-1,8.96,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_30,flow completed,0h8m34s0ms,0h5m38s0ms,34220.0,0.2,17110.0,18.78,-1,800.07,3015,0,0,0,0,0,0,113587,0,0,0,-1,-1,162492,28055,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,134917405.0,0.0,22.54,23.63,5.3,14.23,0.69,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11399,2655,0,3199,3422,20675,185021.2,-1,-1,-1,0.00417,0.00375,2.76e-08,-1,-1,-1,8.96,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_31,flow completed,0h8m30s0ms,0h5m37s0ms,34220.0,0.2,17110.0,18.78,-1,798.11,3015,0,0,0,0,0,0,113587,0,0,0,-1,-1,162492,28055,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,134917405.0,0.0,22.54,23.63,5.3,14.23,0.69,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11399,2655,0,3199,3422,20675,185021.2,-1,-1,-1,0.00417,0.00375,2.76e-08,-1,-1,-1,8.96,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
