2023-05-06 09:45 | SUCCESS| sv_core    | 
2023-05-06 09:45 | DONE   | sv_core    | matrix_config_77: Writing report...
2023-05-06 09:45 | DONE   | sv_core    | Deleting run directory...
2023-05-06 09:45 | DONE   | sv_core    | Deleted run directory.
2023-05-06 09:45 | START  | sv_core    | matrix_config_79
2023-05-06 09:54 | SUCCESS| sv_core    | 
2023-05-06 09:54 | DONE   | sv_core    | matrix_config_78: Writing report...
2023-05-06 09:54 | DONE   | sv_core    | Deleting run directory...
2023-05-06 09:54 | DONE   | sv_core    | Deleted run directory.
2023-05-06 09:54 | START  | sv_core    | matrix_config_80
2023-05-06 09:54 | SUCCESS| sv_core    | 
2023-05-06 09:54 | DONE   | sv_core    | matrix_config_79: Writing report...
2023-05-06 09:55 | DONE   | sv_core    | Deleting run directory...
2023-05-06 09:55 | DONE   | sv_core    | Deleted run directory.
2023-05-06 09:55 | START  | sv_core    | matrix_config_81
2023-05-06 10:03 | SUCCESS| sv_core    | 
2023-05-06 10:03 | DONE   | sv_core    | matrix_config_80: Writing report...
2023-05-06 10:03 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:03 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:03 | START  | sv_core    | matrix_config_82
2023-05-06 10:04 | SUCCESS| sv_core    | 
2023-05-06 10:04 | DONE   | sv_core    | matrix_config_81: Writing report...
2023-05-06 10:04 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:04 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:04 | START  | sv_core    | matrix_config_83
2023-05-06 10:13 | SUCCESS| sv_core    | 
2023-05-06 10:13 | DONE   | sv_core    | matrix_config_82: Writing report...
2023-05-06 10:13 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:13 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:13 | START  | sv_core    | matrix_config_84
2023-05-06 10:14 | SUCCESS| sv_core    | 
2023-05-06 10:14 | DONE   | sv_core    | matrix_config_83: Writing report...
2023-05-06 10:14 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:14 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:14 | START  | sv_core    | matrix_config_85
2023-05-06 10:23 | SUCCESS| sv_core    | 
2023-05-06 10:23 | DONE   | sv_core    | matrix_config_84: Writing report...
2023-05-06 10:23 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:23 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:23 | START  | sv_core    | matrix_config_86
2023-05-06 10:24 | SUCCESS| sv_core    | 
2023-05-06 10:24 | DONE   | sv_core    | matrix_config_85: Writing report...
2023-05-06 10:24 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:24 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:24 | START  | sv_core    | matrix_config_87
2023-05-06 10:33 | SUCCESS| sv_core    | 
2023-05-06 10:33 | DONE   | sv_core    | matrix_config_86: Writing report...
2023-05-06 10:33 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:33 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:33 | START  | sv_core    | matrix_config_88
2023-05-06 10:33 | SUCCESS| sv_core    | 
2023-05-06 10:33 | DONE   | sv_core    | matrix_config_87: Writing report...
2023-05-06 10:33 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:34 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:34 | START  | sv_core    | matrix_config_89
2023-05-06 10:42 | SUCCESS| sv_core    | 
2023-05-06 10:42 | DONE   | sv_core    | matrix_config_88: Writing report...
2023-05-06 10:43 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:43 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:43 | START  | sv_core    | matrix_config_90
2023-05-06 10:43 | SUCCESS| sv_core    | 
2023-05-06 10:43 | DONE   | sv_core    | matrix_config_89: Writing report...
2023-05-06 10:43 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:43 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:43 | START  | sv_core    | matrix_config_91
2023-05-06 10:52 | SUCCESS| sv_core    | 
2023-05-06 10:52 | DONE   | sv_core    | matrix_config_90: Writing report...
2023-05-06 10:52 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:52 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:52 | START  | sv_core    | matrix_config_92
2023-05-06 10:53 | SUCCESS| sv_core    | 
2023-05-06 10:53 | DONE   | sv_core    | matrix_config_91: Writing report...
2023-05-06 10:53 | DONE   | sv_core    | Deleting run directory...
2023-05-06 10:53 | DONE   | sv_core    | Deleted run directory.
2023-05-06 10:53 | START  | sv_core    | matrix_config_93
2023-05-06 11:02 | SUCCESS| sv_core    | 
2023-05-06 11:02 | DONE   | sv_core    | matrix_config_92: Writing report...
2023-05-06 11:02 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:02 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:02 | START  | sv_core    | matrix_config_94
2023-05-06 11:02 | SUCCESS| sv_core    | 
2023-05-06 11:02 | DONE   | sv_core    | matrix_config_93: Writing report...
2023-05-06 11:03 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:03 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:03 | START  | sv_core    | matrix_config_95
2023-05-06 11:12 | SUCCESS| sv_core    | 
2023-05-06 11:12 | DONE   | sv_core    | matrix_config_94: Writing report...
2023-05-06 11:12 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:12 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:12 | START  | sv_core    | matrix_config_96
2023-05-06 11:12 | SUCCESS| sv_core    | 
2023-05-06 11:12 | DONE   | sv_core    | matrix_config_95: Writing report...
2023-05-06 11:12 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:12 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:12 | START  | sv_core    | matrix_config_97
2023-05-06 11:21 | SUCCESS| sv_core    | 
2023-05-06 11:21 | DONE   | sv_core    | matrix_config_96: Writing report...
2023-05-06 11:22 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:22 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:22 | START  | sv_core    | matrix_config_98
2023-05-06 11:22 | SUCCESS| sv_core    | 
2023-05-06 11:22 | DONE   | sv_core    | matrix_config_97: Writing report...
2023-05-06 11:22 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:22 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:22 | START  | sv_core    | matrix_config_99
2023-05-06 11:31 | SUCCESS| sv_core    | 
2023-05-06 11:31 | DONE   | sv_core    | matrix_config_98: Writing report...
2023-05-06 11:31 | SUCCESS| sv_core    | 
2023-05-06 11:31 | DONE   | sv_core    | matrix_config_99: Writing report...
2023-05-06 11:31 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:31 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:31 | START  | sv_core    | matrix_config_100
2023-05-06 11:31 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:31 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:31 | START  | sv_core    | matrix_config_101
2023-05-06 11:40 | SUCCESS| sv_core    | 
2023-05-06 11:40 | DONE   | sv_core    | matrix_config_100: Writing report...
2023-05-06 11:40 | SUCCESS| sv_core    | 
2023-05-06 11:40 | DONE   | sv_core    | matrix_config_101: Writing report...
2023-05-06 11:41 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:41 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:41 | START  | sv_core    | matrix_config_102
2023-05-06 11:41 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:41 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:41 | START  | sv_core    | matrix_config_103
2023-05-06 11:50 | SUCCESS| sv_core    | 
2023-05-06 11:50 | DONE   | sv_core    | matrix_config_102: Writing report...
2023-05-06 11:50 | SUCCESS| sv_core    | 
2023-05-06 11:50 | DONE   | sv_core    | matrix_config_103: Writing report...
2023-05-06 11:50 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:50 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:50 | START  | sv_core    | matrix_config_104
2023-05-06 11:50 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:50 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:50 | START  | sv_core    | matrix_config_105
2023-05-06 11:59 | SUCCESS| sv_core    | 
