net,length_um
_0527_,90.94
_0481_,90.91
_0831_,90.64
net262,90.64
_1291_,90.52
_0548_,90.44
i_decode_stage.fetch_state_i\[57\],90.28
clknet_leaf_11_clk_i,90.06
net251,89.45
net185,89.34
_1810_,89.03
net250,88.755
_1022_,88.68
_1032_,87.98
net149,87.7
clknet_leaf_10_clk_i,87.66
net260,87.56
_0352_,86.85
_1315_,86.25
_0606_,85.94
_0580_,85.52
_0692_,85.48
_0521_,85.32
i_decode_stage.fetch_state_i\[16\],85.24
i_mem_slice_stage.mem_state_o\[27\],85.23
_1501_,85.15
clknet_leaf_4_clk_i,84.52
_0675_,84.46
i_decode_stage.fetch_state_i\[2\],84.2
_1649_,84.13
_1396_,84
net258,83.88
_1154_,83.64
_2033_,83.56
net247,83.34
_0510_,82.92
_1813_,82.87
_1299_,82.58
i_decode_stage.decode_state_o\[236\],82.425
_0564_,81.71
i_decode_stage.decode_state_o\[56\],81.68
i_mem_slice_stage.mem_state_o\[72\],81.5
_1216_,81.26
net252,80.88
_0764_,80.505
i_decode_stage.reg_meta_o\[43\],79.74
_0605_,79.64
_0829_,79.33
_0809_,79.14
net256,78.78
i_decode_stage.decode_state_o\[42\],78.6
i_decode_stage.decode_state_o\[41\],78
i_mem_slice_stage.mem_state_o\[15\],77.72
i_decode_stage.reg_meta_o\[45\],77.7
i_decode_stage.decode_state_o\[53\],77.68
_0561_,77.64
net21,77.6
_1012_,77.3
_0751_,76.97
_0846_,76.82
net249,76.72
net196,76.37
_0553_,76.22
_0444_,75.76
i_decode_stage.decode_state_o\[128\],75.56
_0497_,75.42
_0720_,75.32
_0857_,75.2
_0849_,75.02
_0498_,74.88
_1350_,74.66
_0474_,74.5
_0566_,74.4
net103,74.28
_0524_,74.08
i_decode_stage.reg_meta_o\[44\],73.88
net198,73.52
_1340_,73.42
net171,73.4
_0480_,73.21
i_decode_stage.decode_state_o\[233\],73.19
_1792_,73.02
_1313_,72.89
_1208_,72.67
_1628_,72.665
_1834_,72.435
_1710_,72.22
_0462_,72.17
_1376_,72.1
_0509_,71.78
i_decode_stage.fetch_state_i\[46\],71.78
_1807_,71.75
_0542_,71.54
net18,71.4
_0593_,71.34
net255,70.72
net194,70.595
_1590_,70.52
i_mem_slice_stage.mem_state_o\[19\],70.44
_1004_,69.86
_0840_,69.78
_2019_,69.62
i_decode_stage.decode_state_o\[40\],69.48
_0852_,69.41
i_decode_stage.reg_meta_o\[46\],69
_1476_,68.86
i_decode_stage.valid_o,68.7
_0554_,68.68
i_decode_stage.decode_state_o\[232\],68.56
i_decode_stage.decode_state_o\[61\],68.52
i_decode_stage.reg_meta_o\[14\],68.46
_1218_,68.195
net169,67.78
_0534_,67.76
_1454_,67.69
_0805_,67.48
_1789_,67.3
_1687_,66.96
_0322_,66.715
_1774_,66.64
_1507_,66.62
_1475_,65.925
_0467_,65.9
_0728_,65.72
i_decode_stage.decode_state_o\[60\],65.68
_1112_,65.39
_0620_,65.22
_1195_,65.16
_1523_,64.9
_1683_,64.69
net265,64.6
_1110_,64.265
_0458_,64.04
_2083_,63.74
i_decode_stage.decode_state_o\[55\],63.73
net20,63.58
_0665_,63.22
_1125_,63
_1766_,62.74
i_decode_stage.fetch_state_i\[52\],62.5
i_decode_stage.decode_state_o\[237\],62.46
_0762_,62.415
_0664_,62.37
_1257_,62.34
_0763_,62.155
_1607_,62.12
i_mem_slice_stage.mem_state_o\[12\],62.08
i_mem_slice_stage.mem_state_o\[10\],62.04
_1688_,61.96
_1095_,61.88
_1304_,61.78
_1791_,61.76
_0796_,61.72
i_mem_slice_stage.mem_state_o\[16\],61.58
_0505_,61.53
_1942_,61.4
_0393_,61.04
i_decode_stage.decode_state_o\[54\],60.98
_1074_,60.8
i_decode_stage.reg_meta_o\[10\],60.46
i_mem_slice_stage.mem_state_o\[75\],60.46
i_mem_slice_stage.mem_state_o\[17\],60.12
net257,59.6
_0866_,59.58
_1571_,59.56
_0958_,59.42
clknet_leaf_14_clk_i,59.42
_1562_,59.28
i_decode_stage.fetch_state_i\[45\],59.28
_1557_,59.155
i_decode_stage.reg_meta_o\[59\],58.91
_0369_,58.8
_1183_,58.74
_0530_,58.64
_1554_,58.42
_1087_,58.23
_1790_,58.22
_0363_,58.12
_1692_,58.12
_2118_,57.98
net170,57.68
_2079_,57.6
_1504_,57.52
i_mem_slice_stage.mem_state_o\[25\],57.52
_0801_,57.48
_1284_,57.48
_1322_,57.35
i_decode_stage.reg_meta_o\[17\],57.3
_1171_,57.28
i_decode_stage.reg_meta_o\[47\],57.22
net130,57.22
_1392_,57.16
_0374_,57.06
_0544_,57.02
i_decode_stage.decode_state_o\[7\],56.925
_1516_,56.68
_0493_,56.61
_1060_,56.07
i_decode_stage.fetch_state_i\[15\],56.06
_0450_,55.99
_0428_,55.88
net168,55.86
i_exec_stage.data_fwd_o\[3\],55.78
_0784_,55.18
_0792_,55.14
net13,55.13
net22,55.08
_0977_,55.04
_1275_,54.9
_1815_,54.34
_1492_,54.1
_0814_,53.88
_1441_,53.86
_1179_,53.72
_1328_,53.7
i_decode_stage.reg_meta_o\[6\],53.7
_0382_,53.46
_1480_,53.45
_1703_,53.36
net105,53.26
i_mem_slice_stage.mem_state_o\[18\],53.05
net183,53
_1545_,52.84
i_decode_stage.decode_state_o\[58\],52.84
_1086_,52.76
i_mem_slice_stage.mem_state_o\[13\],52.66
i_decode_stage.fetch_state_i\[48\],52.56
_0752_,52.33
_2049_,52.24
net413,52.16
_1436_,52.075
_0316_,52.02
_1371_,51.75
i_decode_stage.reg_meta_o\[12\],51.7
net121,51.7
_1223_,51.69
i_decode_stage.reg_meta_o\[52\],51.64
i_mem_slice_stage.mem_state_o\[79\],51.52
clknet_leaf_12_clk_i,51.44
_0766_,51.36
_1588_,51.2
net17,51.18
i_decode_stage.reg_meta_o\[73\],51.07
_0770_,51.04
_2153_,51.04
_0838_,51.02
i_exec_stage.data_fwd_o\[2\],50.945
_1560_,50.72
net25,50.66
_1207_,50.42
i_mem_slice_stage.mem_state_o\[78\],50.38
_0817_,50.335
_0779_,50.2
_1550_,50.12
_0549_,50.04
net126,49.86
_1393_,49.84
net86,49.76
_1348_,49.72
_1735_,49.72
_1028_,49.56
i_exec_stage.data_fwd_o\[34\],49.48
_0631_,49.445
_0834_,49.42
_1142_,49.32
i_exec_stage.data_fwd_o\[9\],49.3
_1498_,49.24
i_decode_stage.reg_meta_o\[35\],48.94
i_decode_stage.fetch_state_i\[51\],48.86
i_decode_stage.decode_state_o\[234\],48.69
i_exec_stage.exec_state_o\[1\],48.42
_2135_,48.32
_1177_,48.16
_0935_,48.115
i_exec_stage.exec_state_o\[57\],48.1
i_decode_stage.reg_meta_o\[51\],48.06
i_exec_stage.data_fwd_o\[16\],48.06
net10,48.02
i_decode_stage.reg_meta_o\[16\],47.9
_1793_,47.88
_1425_,47.7
_0754_,47.66
_1279_,47.58
i_decode_stage.reg_meta_o\[13\],47.48
_0959_,47.2
_1478_,47.08
_1106_,47
_1141_,46.8
_0647_,46.68
_1018_,46.62
i_exec_stage.data_fwd_o\[12\],46.52
_1065_,46.505
_0757_,46.5
_2053_,46.42
_0747_,46.3
_1222_,46.22
_1903_,45.9
_0876_,45.5
net410,45.5
_1281_,45.445
_1800_,45.26
_0976_,45.22
i_mem_slice_stage.pre_data\[3\],45.22
_0739_,45.12
_0320_,45.02
i_mem_slice_stage.mem_state_o\[7\],45.02
_1360_,44.96
_1370_,44.92
_0418_,44.88
_0788_,44.8
_0810_,44.72
_1375_,44.68
_0378_,44.34
net191,44.34
i_decode_stage.fetch_state_i\[6\],44.24
i_exec_stage.data_fwd_o\[14\],44.22
_0865_,44.02
_0490_,43.33
net407,43.2
_1627_,43.115
_2112_,43.04
_0661_,43
i_decode_stage.reg_meta_o\[34\],42.96
_1238_,42.93
net69,42.82
net85,42.72
_1267_,42.58
_0572_,42.42
net19,42.28
_1417_,42.19
i_mem_slice_stage.pre_data\[24\],42.18
net116,42.18
_0989_,42.06
_0738_,42.04
i_exec_stage.data_fwd_o\[6\],41.9
i_mem_slice_stage.mem_state_o\[14\],41.9
net7,41.84
i_mem_slice_stage.mem_state_o\[8\],41.66
_1143_,41.44
_0729_,41.38
_1809_,41.26
i_exec_stage.exec_state_o\[56\],41.26
_0669_,41.24
_0377_,41.17
_0975_,41.05
_0790_,40.995
net87,40.88
net84,40.86
net68,40.84
net182,40.78
_0693_,40.76
_0853_,40.76
_1394_,40.72
_0459_,40.7
net190,40.66
_2065_,40.64
i_exec_stage.valid,40.62
i_decode_stage.reg_meta_o\[54\],40.59
i_mem_slice_stage.mem_state_o\[81\],40.56
_0409_,40.46
_2055_,40.44
net76,40.44
i_decode_stage.fetch_state_i\[39\],40.42
_0611_,40.4
i_decode_stage.fetch_state_i\[3\],40.4
_0984_,40.28
net71,40.26
_0767_,40.18
i_exec_stage.exec_state_o\[4\],40.1
_0311_,40.06
net98,39.98
_0782_,39.84
_0676_,39.82
_0826_,39.78
i_decode_stage.reg_meta_o\[48\],39.78
_0748_,39.64
i_mem_slice_stage.pre_data\[2\],39.6
_0653_,39.48
i_decode_stage.reg_meta_o\[64\],39.42
_0879_,39.36
_0967_,39.36
_1544_,39.29
i_decode_stage.fetch_state_i\[17\],39.12
i_mem_slice_stage.pre_data\[14\],39.11
_1491_,39.06
i_decode_stage.reg_meta_o\[9\],38.86
_1188_,38.78
_1228_,38.76
_1533_,38.76
_1775_,38.62
_1259_,38.56
_0425_,38.46
_2101_,38.3
_2125_,38.24
i_decode_stage.reg_meta_o\[7\],38.24
_1435_,38.2
_1580_,38.1
_0858_,38.08
i_exec_stage.exec_state_o\[7\],38.06
_0755_,38.04
net108,38.04
i_decode_stage.decode_state_o\[20\],38
_1423_,37.7
_1217_,37.68
_1722_,37.68
net117,37.5
net77,37.44
i_decode_stage.reg_meta_o\[61\],37.36
net94,37.34
_0847_,37.3
_0636_,37.1
_0376_,36.88
_1647_,36.73
_2073_,36.36
i_decode_stage.fetch_state_i\[5\],36.36
_1519_,36.22
net70,36.2
_0869_,36.12
_1902_,36.04
_1637_,35.88
i_mem_slice_stage.mem_state_o\[80\],35.82
i_decode_stage.reg_meta_o\[55\],35.72
i_decode_stage.decode_state_o\[243\],35.68
_0338_,35.65
_0843_,35.64
_1245_,35.56
_0938_,35.43
i_exec_stage.data_fwd_o\[1\],35.34
_0370_,35.3
i_decode_stage.fetch_state_i\[44\],35.3
_1176_,35.26
_1433_,35.26
_0981_,35.24
_1035_,35.225
_0844_,35.14
i_decode_stage.reg_meta_o\[36\],35.08
_0877_,35.04
_0925_,35.02
i_decode_stage.reg_meta_o\[56\],35.02
i_mem_slice_stage.mem_state_o\[84\],35.02
net111,34.94
_1828_,34.92
_0919_,34.9
net15,34.86
_0983_,34.83
_0379_,34.76
_1137_,34.72
_1921_,34.72
_1787_,34.7
_0897_,34.66
_0746_,34.615
_0881_,34.52
i_decode_stage.reg_meta_o\[57\],34.4
_0546_,34.3
_0491_,34.095
_0964_,34.04
i_decode_stage.decode_state_o\[241\],33.98
net30,33.85
_1566_,33.78
_1298_,33.64
net8,33.57
_0920_,33.56
